SurgicalService,Name,axa_name,axa_severity,protocolised_adm
Urology,*Unspecified,-,Unknown,No
General Surgery,*Unspecified,-,Unknown,No
Orthopaedics,30-50% DISTAL PANCREATECTOMY,Distal pancreatectomy,Xmajor,No
Urology,ABDOMEN EXCISION,-,Unknown,No
Gynaecology,ABDOMINAL HYSTERECTOMY,Subtotal abdominal hysterectomy (+/- oophorectomy) +/- ureterolysis,Major,No
Gynaecology,ABDOMINAL HYSTERECTOMY WITH CONSERVATION OF OVARIES,Total abdominal hysterectomy (+/- oophorectomy) +/- ureterolysis,Major,No
Gynaecology,ABDOMINAL SACROCOLPOPEXY USING MESH,Sacrocolpopexy (including laparoscopic) +/- ureterolysis,Major,No
Urology,ABDOMINOLIPECTOMY,"Fat transfer, including extraction and volume adjustment, of scar defect following trauma (excluding breast)",Intermediate,No
Colorectal Surgery,ABDOMINOPERINEAL RESECTION,Abdominoperineal resection of rectum and anus,Complex,No
General Surgery,ABDOMINOPERINEAL RESECTION,Abdominoperineal resection of rectum and anus,Complex,No
General Surgery,ABDOMINOPERINEAL RESECTION OF ANUS,Abdominoperineal resection of rectum and anus,Complex,No
Colorectal Surgery,ABDOMINOPERINEAL RESECTION OF ANUS,Abdominoperineal resection of rectum and anus,Complex,No
Urology,ABDOMINOPLASTY,"Fat transfer, including extraction and volume adjustment, of scar defect following trauma (excluding breast)",Intermediate,No
Orthopaedics,ABOVE ELBOW AMPUTATION,Amputation of arm,Major,No
,ADJUST FIXATION OF MANDIBLE,Extra-oral fixation of mandible,Intermediate,No
Oral Surgery,ADJUST FIXATION OF MANDIBLE,Extra-oral fixation of mandible,Intermediate,No
Urology,ADRENALECTOMY,Adrenalectomy - unilateral (open),Major,No
General Surgery,ADRENALECTOMY,Adrenalectomy - unilateral (open),Major,No
Head and Neck,ADVANCEMENT AND REMODELLING OF CRANIUM AND FACIAL BONES,-,Xmajor,No
Orthopaedics,ALLOTRANSPLANTATION OF MENISCUS,Arthroscopic meniscectomy (including debridement),Major,No
Colorectal Surgery,"ALTEMEIER OPERATION, PERINEAL RECTAL PULL-THROUGH",Partial excision of rectum and sigmoid colon for prolapse,Xmajor,No
Orthopaedics,AMPUTATION ABOVE-KNEE,Amputation of leg/foot (including Symes Lisfranc and Chopart),Major,No
Orthopaedics,AMPUTATION LESSER TOE,Amputation of toe,Intermediate,No
Gynaecology,AMPUTATION OF CERVIX,Amputation of cervix uteri,Intermediate,No
Urology,AMPUTATION OF GLANS PENIS,Partial amputation of penis,Major,No
,AMPUTATION OF GLANS PENIS,Partial amputation of penis,Major,No
Urology,AMPUTATION OF PENIS,Total amputation of penis,Major,No
,AMPUTATION OF PENIS,Total amputation of penis,Major,No
General Surgery,ANAL FISSURECTOMY,Excision of anal fissure,Minor,No
General Surgery,ANAL FISTULA OPERATION,Laying open of low anal fistula (fistulotomy) (including sigmoidoscopy),Intermediate,No
General Surgery,ANAL FISTULECTOMY,Laying open of high anal fistula (fistulotomy) (including sigmoidoscopy),Major,No
General Surgery,ANASTOMOSIS OF ILEUM TO CAECUM,Laparoscopically assisted resection of small intestine,Major,No
Colorectal Surgery,ANASTOMOSIS OF JEJUNUM,Open resectionof small intestine tumour,Major,No
General Surgery,ANASTOMOSIS OF TRANSVERSE COLON TO RECTUM,Excision of sigmoid colon,Xmajor,No
Urology,ANASTOMOSIS OF URETER,Unilateral replantation of ureter into bladder (including cystoscopy),Major,No
Urology,ANASTOMOTIC URETHROPLASTY,"Complex Urethroplasty, Eg Revision Surgery of the Anterior Urethra, Segment, Posterior Urethra, +/- Grafting (Including Cystoscopy)",Major,No
Orthopaedics,ANCHORING OF TENDON OF BICEPS,"Secondary repair of tendon (including graft, transfer and/or prosthesis) (not otherwise specified)",Major,No
Urology,ANDERSON-HYNES PYELOPLASTY,Open pyeloplasty,Major,No
Vascular Surgery,ANGIOPLASTY OF ANTERIOR TIBIAL ARTERY,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
Vascular Surgery,ANGIOPLASTY OF ARTERY OF LOWER EXTREMITY,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
,ANGIOPLASTY OF BLOOD VESSEL,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
Vascular Surgery,ANGIOPLASTY OF COMMON ILIAC ARTERY,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
Vascular Surgery,ANGIOPLASTY OF CRURAL ARTERY,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
Vascular Surgery,ANGIOPLASTY OF SUPERFICIAL FEMORAL ARTERY,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
,ANGIOPLASTY OF SUPERFICIAL FEMORAL ARTERY,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
Urology,ANTEGRADE URETEROSCOPY,Diagnostic ureterorenoscopy (+/- cystoscopy),Minor,No
Gynaecology,ANTERIOR COLPORRHAPHY,Anterior +/- posterior colporrhaphy (including primary repair of enterocele) (including cystoscopy),Major,No
Gynaecology,ANTERIOR COLPORRHAPHY FOR REPAIR OF CYSTOCELE WITHOUT REPAIR OF URETHROCELE,Anterior +/- posterior colporrhaphy (including primary repair of enterocele) (including cystoscopy),Major,No
Head and Neck,ANTERIOR COMPARTMENT LYMPH NODES NECK DISSECTION,Radical dissection of cervical lymph nodes,Complex,Yes
Orthopaedics,ANTERIOR DECOMPRESSION OF SHOULDER JOINT,Arthroscopic subacromial decompression,Major,No
Gynaecology,ANTERIOR EXENTERATION OF PELVIS,Anterior exenteration of pelvis,Complex,Yes
Thoracic Surgery,ANTERIOR MEDIASTINOTOMY,Open resection of invasive mediastinal tumour,Complex,Yes
Gynaecology,ANTERIOR MESH VAGINAL REPAIR,Anterior +/- posterior colporrhaphy (including primary repair of enterocele) (including cystoscopy),Major,No
General Surgery,ANTERIOR RESECTION OF RECTUM,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
Colorectal Surgery,ANTERIOR RESECTION OF RECTUM,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
Urology,ANTERIOR RESECTION OF RECTUM,Anterior resection - high (i.e. colorectal anastomosis above the peritoneal reflection),Complex,No
